Month,Day,Version,Shop,Hour,Volume
8,1,actual,unbalance,24,2310.78
8,1,plan,Total,24,4836.79
8,1,plan,KP,24,2727.11
8,1,plan,MP,24,2109.68
8,1,actual,Total,25,2342.48
8,1,actual,KP,25,1144.6
8,1,actual,MP,25,1197.87
8,1,actual,unbalance,25,11.75
8,1,plan,Total,25,2354.23
8,1,plan,KP,25,1127.11
8,1,plan,MP,25,1227.11
8,1,actual,Total,26,2399.94
8,1,actual,KP,26,1165.04
8,1,actual,MP,26,1234.9
8,1,actual,unbalance,26,126.07
8,1,plan,Total,26,2526.01
8,1,plan,KP,26,1148.88
8,1,plan,MP,26,1377.13
8,1,actual,Total,27,3568.2
8,1,actual,KP,27,2268.48
8,1,actual,MP,27,1299.71
8,1,actual,unbalance,27,-1168.25
8,1,plan,Total,27,2399.94
8,1,plan,KP,27,1165.04
8,1,plan,MP,27,1234.9
8,1,actual,Total,28,4690.82
8,1,actual,KP,28,2540.44
8,1,actual,MP,28,2150.38
8,1,actual,unbalance,28,-54.03
8,1,plan,Total,28,4636.79
8,1,plan,KP,28,2527.11
8,1,plan,MP,28,2109.68
8,1,actual,Total,29,4387.94
8,1,actual,KP,29,2395.96
8,1,actual,MP,29,1991.99
8,1,actual,unbalance,29,148.85
8,1,plan,Total,29,4536.79
8,1,plan,KP,29,2427.11
8,1,plan,MP,29,2109.68
8,1,actual,Total,30,4460.11
8,1,actual,KP,30,1937.49
8,1,actual,MP,30,2522.63
8,1,actual,unbalance,30,30.87
8,1,plan,Total,30,4490.99
8,1,plan,KP,30,2340.61
8,1,plan,MP,30,2150.38
8,1,actual,Total,31,2399.94
8,1,actual,KP,31,1165.04
8,1,actual,MP,31,1234.9
8,1,actual,unbalance,31,2250.34
8,1,plan,Total,31,4650.28
8,1,plan,KP,31,2540.61
8,1,plan,MP,31,2109.68
8,2,actual,Total,1,4468.52
8,2,actual,KP,1,2390.57
8,2,actual,MP,1,2077.95
8,2,actual,unbalance,1,50.48
8,2,plan,Total,1,4519
8,2,plan,KP,1,2234.09
8,2,plan,MP,1,2285.3
8,2,actual,Total,2,4838.97
8,2,actual,KP,2,2649.21
8,2,actual,MP,2,2189.76
8,2,actual,unbalance,2,-186.97
8,2,plan,Total,2,4652
8,2,plan,KP,2,2366.2
8,2,plan,MP,2,2285.3
8,2,actual,Total,3,5055.64
8,2,actual,KP,3,2484.66
8,2,actual,MP,3,2570.98
